PT,TM,HG
1000.00000,-10.000000,-29062.109
1000.00000,-9.7818792,-28885.052
1000.00000,-9.5637584,-28707.945
1000.00000,-9.3456376,-28530.786
1000.00000,-9.1275168,-28353.577
1000.00000,-8.9093960,-28176.317
1000.00000,-8.6912752,-27999.007
1000.00000,-8.4731544,-27821.646
1000.00000,-8.2550336,-27644.234
1000.00000,-8.0369128,-27466.771
1000.00000,-7.8187919,-27289.258
1000.00000,-7.6006711,-27111.694
1000.00000,-7.3825503,-26934.079
1000.00000,-7.1644295,-26756.414
1000.00000,-6.9463087,-26578.698
1000.00000,-6.7281879,-26400.932
1000.00000,-6.5100671,-26223.115
1000.00000,-6.2919463,-26045.247
1000.00000,-6.0738255,-25867.328
1000.00000,-5.8557047,-25689.360
1000.00000,-5.6375839,-25511.340
1000.00000,-5.4194631,-25333.270
1000.00000,-5.2013423,-25155.149
1000.00000,-4.9832215,-24976.978
1000.00000,-4.7651007,-24798.756
1000.00000,-4.5469799,-24620.484
1000.00000,-4.3288591,-24442.161
1000.00000,-4.1107383,-24263.788
1000.00000,-3.8926174,-24085.364
1000.00000,-3.6744966,-23906.890
1000.00000,-3.4563758,-23728.365
1000.00000,-3.2382550,-23549.790
1000.00000,-3.0201342,-23371.164
1000.00000,-2.8020134,-23192.488
1000.00000,-2.5838926,-23013.761
1000.00000,-2.3657718,-22834.984
1000.00000,-2.1476510,-22656.156
1000.00000,-1.9295302,-22477.278
1000.00000,-1.7114094,-22298.350
1000.00000,-1.4932886,-22119.371
1000.00000,-1.2751678,-21940.342
1000.00000,-1.0570470,-21761.262
1000.00000,-.83892617,-21582.132
1000.00000,-.62080537,-21402.952
1000.00000,-.40268456,-21223.721
1000.00000,-.18456376,-21044.440
1000.00000,.033557047,-20865.109
1000.00000,.251677852,-20685.727
1000.00000,.469798658,-20506.295
1000.00000,.687919463,-20326.813
1000.00000,.906040268,-20147.281
1000.00000,1.12416107,-19967.698
1000.00000,1.34228188,-19788.064
1000.00000,1.56040268,-19608.381
1000.00000,1.77852349,-19428.647
1000.00000,1.99664430,-19248.864
1000.00000,2.21476510,-19069.029
1000.00000,2.43288591,-18889.145
1000.00000,2.65100671,-18709.211
1000.00000,2.86912752,-18529.226
1000.00000,3.08724832,-18349.191
1000.00000,3.30536913,-18169.106
